Date,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches,Events
12/21/2013,74,60,45,67,49,43,93,75,57,29.86,29.68,29.59,10,7,2,20,4,31,0.46,"Rain , Thunderstorm"
12/22/2013,56,48,39,43,36,28,93,68,43,30.41,30.13,29.87,10,10,5,16,6,25,0, 
12/23/2013,58,45,32,31,27,23,76,52,27,30.56,30.49,30.41,10,10,10,8,3,12,0, 
12/24/2013,61,46,31,36,28,21,89,56,22,30.56,30.45,30.3,10,10,7,12,4,20,0, 
12/25/2013,58,50,41,44,40,36,86,71,56,30.41,30.33,30.27,10,10,7,10,2,16,T, 
12/26/2013,57,48,39,39,36,33,79,63,47,30.47,30.4,30.34,10,9,7,12,3,17,0, 
12/27/2013,60,53,45,41,39,37,83,65,47,30.46,30.39,30.34,10,9,7,7,1,11,T, 
12/28/2013,62,51,40,43,39,33,92,64,36,30.33,30.17,30.04,10,10,7,10,2,14,T, 
12/29/2013,64,50,36,49,41,28,92,76,60,30.31,30.1,29.99,10,10,4,17,5,24,0, 
12/30/2013,44,40,35,31,26,21,75,60,45,30.44,30.33,30.26,10,10,10,13,5,21,0, 
12/31/2013,55,46,36,31,28,23,76,54,32,30.49,30.39,30.27,10,10,10,8,1,12,0, 
1/1/2014,69,54,39,51,42,30,83,68,52,30.25,30.11,30.01,10,10,8,13,4,22,0, 
1/2/2014,55,44,33,39,26,19,83,55,26,30.49,30.37,30.15,10,10,9,21,8,31,0, 
1/3/2014,58,43,28,37,22,18,75,49,22,30.48,30.35,30.14,10,10,10,14,4,21,0, 
1/4/2014,71,57,42,55,48,38,89,68,47,30.12,29.95,29.81,10,10,8,16,7,28,0, 
1/5/2014,59,47,34,54,32,15,87,59,31,30.48,30.08,29.79,10,10,4,21,10,34,0, 
1/6/2014,36,29,22,15,8,2,50,38,26,30.8,30.68,30.5,10,10,10,17,7,27,0, 
1/7/2014,48,35,22,29,11,4,68,43,17,30.66,30.52,30.36,10,10,10,13,5,22,0, 
1/8/2014,53,47,40,51,45,30,93,75,57,30.33,30.2,30.12,10,2,1,12,1,18,0.16,Rain
1/9/2014,70,62,53,60,55,50,93,80,66,30.18,30.11,30,10,4,0,12,3,19,0,Fog
1/10/2014,72,65,57,64,61,54,93,81,68,29.97,29.87,29.75,10,8,1,13,6,21,0.1,Rain
1/11/2014,75,62,48,54,37,20,93,53,13,30.16,30.06,29.87,10,9,5,12,3,19,0, 
1/12/2014,67,57,46,58,47,33,84,68,52,30.12,30.01,29.9,10,10,10,15,4,24,0.01,Rain
1/13/2014,71,57,43,60,36,17,87,51,14,30.16,30.01,29.86,10,9,7,17,7,29,0, 
1/14/2014,76,57,37,31,25,20,70,41,12,30.34,30.13,30.01,10,10,10,16,5,29,0, 
1/15/2014,64,52,40,29,23,16,49,35,21,30.47,30.33,30.17,10,10,10,14,4,21,0, 
1/16/2014,72,56,40,31,27,23,55,38,20,30.21,30.13,30.06,10,10,10,14,4,20,0, 
1/17/2014,64,54,43,31,20,15,45,31,17,30.37,30.29,30.21,10,10,9,14,5,21,0, 
1/18/2014,70,54,37,41,33,23,59,45,31,30.26,30.19,30.1,10,10,10,12,2,19,0, 
1/19/2014,72,59,45,41,30,18,64,39,14,30.35,30.22,30.12,10,10,10,9,3,16,0, 
1/20/2014,82,64,46,51,36,23,71,44,17,30.16,30,29.85,10,10,10,16,5,26,0, 
1/21/2014,63,51,38,28,23,19,59,39,19,30.43,30.31,30.19,10,10,10,15,6,25,0, 
1/22/2014,70,54,37,39,27,24,70,45,19,30.23,30.11,30.01,10,10,10,12,4,18,0, 
1/23/2014,56,42,27,42,29,20,78,64,50,30.73,30.47,30.06,10,8,2,20,9,31,0.06,"Rain , Snow"
1/24/2014,40,33,26,22,17,10,81,60,39,30.76,30.63,30.4,10,9,3,16,5,24,0.05, 
1/25/2014,70,48,26,38,27,22,85,53,20,30.38,30.19,30.02,10,10,8,8,1,14,0, 
1/26/2014,76,60,43,45,39,33,76,52,27,30,29.84,29.69,10,10,10,12,3,20,0, 
1/27/2014,60,47,34,43,23,5,66,44,21,30.28,30.09,29.81,10,10,10,21,9,32,0.02,Rain
1/28/2014,39,33,27,19,14,7,69,48,27,30.51,30.4,30.27,10,10,10,15,6,23,0.05,Rain
1/29/2014,49,38,27,19,13,9,63,42,21,30.52,30.41,30.29,10,10,10,15,5,23,0, 
1/30/2014,65,48,31,51,36,20,80,64,48,30.26,30.06,29.9,10,10,10,15,7,27,0, 
1/31/2014,80,68,55,59,54,51,86,64,42,29.96,29.87,29.79,10,10,9,14,9,25,0, 
2/1/2014,76,66,55,62,59,41,81,71,60,29.91,29.81,29.75,10,10,9,14,6,26,T,Rain
2/2/2014,55,45,35,40,33,27,79,69,59,30.27,30.09,29.9,10,8,4,18,11,29,0.02,Rain
2/3/2014,46,40,34,38,33,28,82,74,65,30.28,30.17,29.98,10,6,3,13,6,17,0, 
2/4/2014,64,53,42,45,41,39,89,68,46,30.11,29.95,29.87,10,6,2,10,2,18,0.15,Rain
2/5/2014,48,40,31,42,26,16,80,60,39,30.5,30.37,30.13,10,10,10,16,10,24,0, 
2/6/2014,32,29,26,17,15,13,58,54,49,30.57,30.48,30.42,10,10,10,15,8,23,0, 
2/7/2014,38,34,29,29,24,17,78,68,58,30.41,30.32,30.24,10,7,2,8,3,12,0, 
2/8/2014,65,51,37,42,36,29,85,63,40,30.26,30.17,30.03,10,7,3,14,5,21,0, 
2/9/2014,76,59,41,53,45,38,96,70,44,30.12,30.05,29.93,10,5,0,13,4,20,0,Fog
2/10/2014,60,48,35,49,36,30,82,74,66,30.23,30.15,30.02,10,8,4,15,9,23,T,Rain
2/11/2014,36,35,33,31,29,27,89,80,70,30.3,30.24,30.19,9,5,1,15,9,23,0.1,Rain
2/12/2014,57,45,33,34,29,27,75,57,38,30.27,30.18,30.08,10,9,7,14,5,22,0, 
2/13/2014,69,51,32,38,34,28,85,58,30,30.11,30.02,29.93,10,10,10,10,4,19,0, 
2/14/2014,86,67,47,48,37,22,86,51,15,30.08,29.93,29.85,10,10,8,18,6,30,0, 
2/15/2014,76,59,42,52,35,22,64,43,22,30.17,30.09,30.01,10,10,10,15,5,23,0, 
2/16/2014,76,68,59,61,57,53,90,74,57,30.08,30.01,29.94,10,5,0,13,5,23,0,Fog
2/17/2014,81,70,58,62,50,29,87,52,17,30.12,30.03,29.92,10,8,2,15,5,23,0, 
2/18/2014,82,69,55,63,53,32,78,55,32,30.1,30,29.89,10,10,9,13,4,20,0, 
2/19/2014,82,73,63,62,60,59,93,70,47,29.93,29.85,29.72,10,9,2,15,7,25,0, 
2/20/2014,83,70,57,64,50,27,81,48,15,30.09,29.85,29.71,10,9,7,16,8,28,0, 
2/21/2014,72,57,41,33,27,22,67,43,19,30.21,30.11,30.03,10,10,10,14,5,20,0, 
2/22/2014,77,63,48,57,46,30,73,53,32,30.05,29.96,29.87,10,10,10,14,6,22,0, 
2/23/2014,86,74,62,61,56,44,84,57,29,30.05,29.95,29.88,10,10,7,15,4,24,0, 
2/24/2014,76,66,55,63,51,43,81,65,49,30.1,30.04,29.99,10,9,5,12,4,18,0, 
2/25/2014,71,62,52,65,60,47,93,85,77,30.06,30.01,29.95,10,4,1,12,5,20,T,Rain
2/26/2014,52,44,36,46,33,21,83,63,43,30.26,30.18,30.06,10,8,2,20,8,29,0.11,Rain
2/27/2014,59,45,31,32,27,21,82,56,29,30.22,30.1,29.94,10,10,10,12,3,17,0, 
2/28/2014,80,62,44,50,46,35,83,60,37,29.92,29.85,29.75,10,10,7,13,6,21,0, 
3/1/2014,82,68,53,65,57,48,93,74,54,30.02,29.95,29.87,10,7,0,16,5,27,0,Fog
3/2/2014,73,51,28,67,45,20,89,79,69,30.31,30.05,29.88,10,8,2,20,10,37,0.08,Rain
3/3/2014,47,36,24,27,20,12,75,56,37,30.44,30.33,30.25,10,9,4,18,10,29,0.08,"Rain , Thunderstorm"
3/4/2014,50,40,30,36,31,26,92,72,52,30.31,30.18,30.06,10,8,2,9,4,13,0.17,Rain
3/5/2014,53,46,38,43,39,35,86,76,66,30.18,30.06,29.99,10,7,4,13,3,16,0, 
3/6/2014,65,54,43,42,38,35,89,62,34,30.28,30.18,30.08,10,8,4,13,4,20,0, 
