,Gender,Tinggal_Dengan,Status_Kerja,Biaya,Tgl_Daftar_Kuliah,Alamat,UKM,Organisasi_Kampus,Lama_Kuliah,Fakultas
0,1,1,0,1,0,5,3,0,0,0
1,0,1,0,0,0,0,2,1,1,1
2,0,1,1,1,0,4,4,1,2,1
3,0,0,0,1,0,4,1,1,4,0
4,0,0,1,0,0,0,0,0,6,0
5,1,1,0,0,1,4,0,1,0,2
6,0,0,1,1,0,1,4,1,2,1
7,0,0,0,1,0,1,3,1,3,1
8,1,1,0,1,0,5,2,1,3,1
9,0,0,0,0,1,1,3,0,5,4
10,1,1,0,2,0,0,0,0,3,3
11,1,1,1,1,0,1,3,0,3,3
12,0,0,0,0,0,2,0,1,4,0
13,0,1,0,2,0,4,3,1,6,1
14,1,1,1,1,0,4,2,0,2,0
15,1,1,1,2,0,5,2,1,0,0
16,1,0,1,2,1,4,2,1,3,4
17,0,1,1,2,1,1,2,0,7,4
18,0,0,0,0,0,3,1,1,5,3
19,1,1,1,0,0,3,3,1,7,3
20,0,0,1,1,1,3,2,1,4,0
21,0,0,0,0,0,0,2,0,0,0
22,0,1,0,2,1,2,3,0,0,0
23,0,1,0,0,1,4,1,1,6,2
24,1,1,1,0,0,0,4,0,4,1
25,0,1,1,0,0,0,4,0,6,1
26,0,0,1,1,1,3,4,1,0,3
27,0,1,0,1,0,2,0,1,1,3
28,0,1,1,2,1,4,0,0,7,3
29,1,0,1,1,1,3,1,1,1,2
30,1,1,0,2,1,3,0,0,5,0
31,0,1,1,1,0,2,0,0,5,4
32,1,1,0,2,0,2,2,0,7,2
33,1,1,1,0,0,2,3,1,0,4
34,0,1,1,1,1,1,1,0,3,0
35,0,1,0,1,0,5,4,1,4,0
36,1,1,1,1,1,5,1,0,7,2
37,1,1,0,0,0,2,0,0,4,3
38,0,0,1,1,0,3,1,1,1,1
39,1,1,1,0,1,2,2,0,2,0
40,0,1,0,0,1,5,2,1,0,1
41,1,1,1,1,1,0,2,1,7,2
42,1,1,0,0,0,3,0,0,6,3
43,0,1,1,0,0,3,0,0,1,0
44,0,1,0,2,0,0,0,1,5,2
45,1,1,0,1,0,5,4,1,6,1
46,1,1,0,1,0,4,3,0,2,2
47,0,0,1,0,0,3,3,0,3,4
48,1,0,0,0,0,2,3,0,5,2
49,1,0,1,2,0,2,1,1,1,4
50,0,1,0,2,0,5,3,1,3,0
51,0,1,0,1,1,2,3,0,0,4
52,1,1,0,1,1,5,0,0,3,0
53,0,1,1,0,0,2,2,1,7,3
54,0,0,0,1,1,5,4,1,1,4
55,0,0,0,0,0,3,2,0,5,1
56,0,1,0,2,0,3,0,1,3,4
57,0,0,1,1,0,1,1,1,0,2
58,0,0,1,1,1,2,4,1,4,1
59,1,1,0,1,0,0,4,0,0,4
60,1,1,1,0,1,2,4,1,0,1
