Kode Transaksi	Nama Barang
#1	Kaos
#1	Shampo Biasa
#1	Sepatu Sport merk Z
#1	Serum Vitamin
#1	Baju Renang Pria Dewasa
#1	Baju Renang Wanita Dewasa
#1	Baju Kaos Olahraga
#1	Celana Jogger Casual
#1	Dompet Card Holder
#2	Celana Jeans Sobek Wanita
#2	Blouse Denim
#2	Baju Batik Wanita
#2	Hair and Scalp
#2	Shampo Biasa
#2	Minyak Rambut
#2	Wedges Hitam
#2	Sepatu Sandal Anak
#2	Tas Sekolah Anak Perempuan
#2	Baju Kemeja Putih
#2	Dompet Flip Cover
#3	Shampo Biasa
#3	Hair Tonic
#3	Sepatu Sandal Anak
#3	Serum Vitamin
#3	Baju Kemeja Putih
#3	Baju Kaos Anak - Superheroes
#3	Celana Pendek Casual
#3	Dompet Card Holder
#4	Celana Jeans Sobek Wanita
#4	Jeans Jumbo
#4	Celana Pendek Jeans
#4	Blouse Denim
#4	Baju Batik Wanita
#4	Shampo Biasa
#4	Sepatu Sandal Anak
#4	Sepatu Sekolah Hitam W
#4	Serum Vitamin
#4	Tas Ransel Mini
#4	Celana Pendek Casual
#4	Dompet Kulit Pria
#4	Dompet Card Holder
#4	Dompet Flip Cover
#5	Hair Dryer
#5	Shampo Biasa
#5	Flat Shoes Ballerina
#5	Sepatu Sport merk Z
#5	Serum Vitamin
#5	Tas Sekolah Anak Laki-laki
#5	Cover Koper
#5	Gembok Koper
#6	Celana Jeans Sobek Wanita
#6	Jeans Jumbo
#6	Sweater Top Panjang
#6	Tank Top
#6	Baju Batik Wanita
#6	Hair and Scalp
#6	Hair Dryer
#6	Shampo Biasa
#6	Hair Tonic
#6	Sepatu Sandal Anak
#6	Sepatu Sport merk Z
#6	Baju Kemeja Putih
#6	Celana Jogger Casual
#6	Celana Pendek Casual
#6	Dompet Card Holder
#7	Sweater Top Panjang
#7	Atasan Kaos Putih
#7	Tank Top
#7	Atasan Baju Belang
#7	Shampo Anti Dandruff
#7	Tas Pinggang Wanita
#7	Koper Fiber
#7	Cover Koper
#7	Celana Jogger Casual
#7	Celana Pendek Casual
#8	Celana Pendek Jeans
#8	Atasan Kaos Putih
#8	Shampo Anti Dandruff
#8	Flat Shoes Ballerina
#8	Sepatu Sport merk Y
#8	Sepatu Sport merk Z
#8	Tas Ransel Mini
#8	Dompet STNK Gantungan
#9	Celana Jeans Sobek Wanita
#9	Celana Pendek Jeans
#9	Blouse Denim
#9	Baju Batik Wanita
#9	Hair and Scalp
#9	Hair Dryer
#9	Shampo Biasa
#9	Flat Shoes Ballerina
#9	Sepatu Sport merk Z
#9	Cream Whitening
#9	Tas Ransel Mini
#9	Tas Sekolah Anak Laki-laki
#9	Cover Koper
#9	Baju Kemeja Putih
#9	Baju Renang Pria Dewasa
#9	Celana Jogger Casual
#9	Celana Tactical 
#9	Dompet Card Holder
#10	Jeans Jumbo
#10	Celana Pendek Jeans
#10	Kaos
#10	Baju Batik Wanita
